"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A1490",0.363701123576769,0.39539898561629,12493,41269,7687035,0,503767402,496080367,4464723.303,12151758.303,0.58081214707621
"A1494",0.423832284465439,0.443831892547178,9413,5720,-754135,-754135,52354587,53108722,477978.498,-276156.501999997,-0.633810256784267
"A1501",0.314534811671601,0.355748477257616,11637,47241,23535830,23535830,536149953,512614123,4613527.107,28149357.107,0.196021432301304
"A1515",0.372190925586716,0.397571617179576,10969,7237,2732135,2732135,77752461,75020325,675182.925,3407318.925,0.247126853175263
"A1522",0.354621238705045,0.385580489535188,13893,19709,11521810,11521810,267122417,255600608,2300405.472,13822214.472,0.199656518550471
"A1535",0.416079702871444,0.443405777424351,12667,52866,27397752,27397752,654590298,627192546,5644732.914,33042484.914,0.206029053551548
"A1539",0.365812786449418,0.395689137852023,10409,23249,-13280553,-13280553,236275356,249555909,2246003.181,-11034549.819,-0.169119703147903
"A1540",0.35173566936979,0.384876883366472,14137,7207,7354963,7354963,98947417,91592454,824332.086,8179295.086,0.112078345737429
"A1552",0.339533626224266,0.362154633970114,11775,68507,35310705,35310705,785685679,750374974,6753374.766,42064079.766,0.191255732956904
"A1557",0.362103842061445,0.397530950490439,13509,6392,9103139,9103139,84268274,75165136,676486.224,9779624.22400001,0.0743134015640107
"A1596",0.302475723038258,0.348212960324272,10295,5612,3397618,3397618,55231324,51833705,466503.345,3864122.345,0.137303353408182
"A1617",0.474727314997322,0.480714823349331,10871,8940,5016924,5016924,94704447,89687523,807187.707,5824111.707,0.16089295093966
"A1622",0.275618785526116,0.324018503689459,10466,8154,5802883,5802883,81984059,76181176,685630.584,6488513.58400001,0.118153439247355
"A1628",0.351424402022703,0.389546559324781,11475,5775,-1206172,-1206172,64608776,65814948,592334.532,-613837.468000002,-0.491086289517579
"A1638",0.341057382504562,0.3667329693963,12508,70501,46377184,46377184,865151308,818774124,7368967.116,53746151.1160001,0.158892077535369
"A1652",0.273018973054976,0.293975467696229,11650,11305,2914281,0,128259522,125345240,1128107.16,4042389.16,0.387096563440518
"A1675",0.302514549084922,0.334901495639775,14426,7623,10907994,10907994,106926627,96018633,864167.697,11772161.697,0.0792233381316488
"A1694",0.370515765546621,0.388358039149715,10985,56698,13602596,13602596,609872151,596269555,5366425.995,18969021.995,0.3945148407701
"A1702",0.345276614290852,0.377765548689073,12493,7590,3802144,3802144,92679703,88877559,799898.031,4602042.031,0.210380782789921
"A1722",0.373563719325931,0.398395751260051,12436,8201,-483196,0,99449030,99932226,899390.034,416194.033999994,-1.86133584301193
"A1736",0.511693109462547,0.531079100782543,10953,10490,226381,0,112355867,112129485,1009165.365,1235547.36499999,4.45782271922111
"A1737",0.289574645957114,0.324538096483724,10896,2434,2488399,2488399,25713715,23225316,209027.844,2697426.844,0.084000935541286
"A1749",0.340856594504872,0.37666887140964,13932,26429,7289983,0,357674517,350384534,3153460.806,10443443.806,0.432574507512568
"A1769",0.327931662398347,0.349151893235026,13031,3933,6484888,6484888,49705196,43220309,388982.781,6873869.781,0.0599828063337413
"A2000",0.346546737257798,0.38502032807253,12037,16689,17385451,17385451,196952181,179566729,1616100.561,19001552.561,0.0929571261050398
"A2019",0.342668030694199,0.370147292134325,10625,24225,5326725,0,250853638,245526913,2209742.217,7536467.21700001,0.414840679216593
