"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A3318",0.328871422581481,0.359447218493897,11235,30006,13728812,13728812,329695222,315966410,2843697.69,16572509.69,0.207133558970725
"A3319",0.323846515779158,0.335509311495763,11971,5899,6343098,6343098,69113655,62770557,564935.013,6908033.013,0.0890629488934266
"A3320",0.509725140046363,0.51934042276835,12986,20625,1375938,0,259212007,257836068,2320524.612,3696463.61199999,1.68650448784755
"A3323",0.337701874196107,0.354039999079101,10910,32955,12515269,12515269,351540271,339025002,3051225.018,15566494.018,0.243800194626261
"A3324",0.262573785034367,0.296342654331714,10188,5778,2686911,2686911,57539187,54852276,493670.484,3180581.484,0.18373161001611
"A3325",0.318401363994371,0.355778023932518,10727,63313,9383882,0,663144952,653761070,5883849.63,15267731.63,0.627016583328733
"A3327",0.333594283721924,0.358599054305693,15626,43136,11703521,0,658701577,646998057,5822982.513,17526502.513,0.497540997533991
"A3336",0.352944379474374,0.397404262770901,11827,16189,-180377,0,186556887,186737264,1680635.376,1500258.37599999,-9.31734853113195
"A3361",0.415823783116984,0.459235816300889,12052,5712,3689869,3689869,66151125,62461256,562151.304,4252020.304,0.152349935458413
"A3365",0.332525703532237,0.368604311131914,12261,18004,15306308,15306308,214317164,199010856,1791097.704,17097405.704,0.117016964770342
"A3367",0.345589970815901,0.359220241022367,13850,9953,10127708,10127708,133491274,123363567,1110272.103,11237979.103,0.109627084726375
"A3378",0.316565242313444,0.353211715543594,12243,14119,9204992,9204992,169130457,159925466,1439329.194,10644320.194,0.156363872342312
"A3379",0.396807118243516,0.409020910125936,12836,13211,11932282,11932282,165798989,153866707,1384800.363,13317082.363,0.116054947662149
"A3380",0.30315467966145,0.33862092058448,10552,33429,2027067,0,344097605,342070538,3078634.842,5105701.84200001,1.51876323870894
"A3391",0.336680420700157,0.372969448174572,10318,14899,5522634,5522634,150306105,144783471,1303051.239,6825685.23899999,0.235947419111966
"A3397",0.315533305161802,0.346923266589204,12540,25376,-4256121,0,308302460,312558580,2813027.22,-1443092.77999997,-0.660937088019826
"A3442",0.303872659750158,0.338679695209112,11527,20928,-8662810,-8662810,235989864,244652674,2201874.066,-6460935.93400002,-0.254175500328414
"A3452",0.325722318838891,0.360848103555601,14235,14064,6659593,6659593,195097902,188438310,1695944.79,8355536.78999999,0.254661777378887
"A3454",0.343389348273515,0.364970942424962,11764,133776,56016993,56016993,1535890840,1479873847,13318864.623,69335857.6229999,0.237764719412909
"A3457",0.347161110314568,0.365983344472831,11406,25277,40726804,40726804,282195032,241468227,2173214.043,42900019.043,0.0533608049136383
"A3458",0.397580910563554,0.425474319585707,10805,35524,48425480,48425480,374431645,326006165,2934055.485,51359535.485,0.0605890841969974
"A3466",0.46415097966375,0.518974107696197,10790,7756,6779714,6779714,80326297,73546583,661919.247,7441633.24699999,0.0976323259358719
"A3473",0.43460049211126,0.457778977290345,14059,40057,45156166,45156166,553410943,508254777,4574292.993,49730458.993,0.101299410428247
"A3476",0.345280557795635,0.377954631626094,11968,16385,2504329,0,190436733,187932403,1691391.627,4195721.627,0.675387549718908
"A3477",0.414237159305934,0.42209391038936,10224,14740,15270028,15270028,145891349,130621321,1175591.889,16445619.889,0.076986884961835
"A3486",0.519933642461473,0.539285902176217,11356,15407,10348629,10348629,169744280,159395652,1434560.868,11783188.868,0.138623180713117
"A3504",0.323941310125584,0.355541841448125,10364,62437,22818312,22818312,633581703,610763392,5496870.528,28315181.528,0.240897290211476
"A3507",0.330403935497635,0.35148932886491,9987,6717,1216303,1216303,65579411,64363109,579267.981,1795569.981,0.47625220113738
"A3509",0.441234561158488,0.45031623969174,10508,9408,9411633,9411633,97106192,87694559,789251.031,10200884.031,0.0838590955469686
"A3521",0.363086052104434,0.382049594468984,12487,40557,-8916835,0,497990590,506907425,4562166.825,-4354668.17500001,-0.511635218662226
"A3527",0.456945925067172,0.47349298547234,11674,8518,-2184486,0,96303776,98488263,886394.367,-1298092.633,-0.405767474362389
"A3531",0.329488546346001,0.372108041474247,17299,8365,4625311,4625311,140575552,135950241,1223552.169,5848863.169,0.264534032198051
"A3539",0.372035269432698,0.403607644688135,14811,5349,1730829,1730829,77313078,75582248,680240.232,2411070.23199999,0.393014695270297
"A3547",0.367463026943199,0.388843443382489,10233,43819,3644272,0,435502889,431858617,3886727.553,7530999.55299997,1.06653058635579
"A3554",0.333508989502593,0.346048661511711,9768,13157,5172672,5172672,125597925,120425253,1083827.277,6256499.277,0.209529480508332
"A3555",0.373453351216027,0.429655161721198,10300,10281,-1865594,0,103153108,105018702,945168.318,-920425.681999996,-0.506631302416283
"A3557",0.355590452543544,0.389036674786108,13156,6102,4683037,4683037,78598843,73915806,665242.254,5348279.25399999,0.14205359769739
"A3560",0.326772480272191,0.353573761192122,12818,42013,38341669,38341669,524238608,485896939,4373072.451,42714741.451,0.114055349311997
"A3563",0.372404489976346,0.385897100704993,12002,34889,15205275,15205275,406814225,391608949,3524480.541,18729756.541,0.231793344151948
"A3566",0.393314103556501,0.42220348772488,12816,59485,25743158,25743158,738914194,713171036,6418539.324,32161697.324,0.249329912204245
"A3578",0.261562849182611,0.287833051081628,12650,10427,3075094,0,128204389,125129294,1126163.646,4201258.646,0.366221210148372
"A3579",0.336315096161193,0.374174996584398,11084,10406,1147452,0,112237947,111090495,999814.455,2147266.455,0.871334447976907
"A3588",0.343768539521382,0.375143698368422,13099,36771,4230464,0,471626926,467396462,4206568.158,8437032.15799999,0.99435148437618
"A3591",0.320959231927012,0.351507744401156,14097,17959,6427132,6427132,247089961,240662828,2165965.452,8593098.45199999,0.337003573600168
"A3596",0.47071520004141,0.484180773831526,12590,6681,-1032085,0,82017215,83049300,747443.7,-284641.299999997,-0.724207502289059
"A3597",0.406519667897517,0.409964015029038,15607,7151,-8088368,0,108073830,116162198,1045459.782,-7042908.21799999,-0.129254725057021
"A3599",0.329694230993619,0.34658744517921,11213,13877,1269302,0,151994772,150725470,1356529.23,2625831.22999999,1.0687206275575
"A3613",0.341674832994374,0.342364466288463,9919,7203,2238195,0,69675193,67436998,606932.982,2845127.98199999,0.271170734453429
"A3617",0.39645726091267,0.392859361445674,9825,9442,-462690,0,91063595,91526284,823736.556,361047.555999994,-1.78032279928244
"A3621",0.370407206233595,0.374855123276257,10922,17378,5633128,5633128,184994013,179360885,1614247.965,7247375.965,0.286563338344167
"A3623",0.373011923657097,0.389174642737912,10138,12970,325083,0,128493766,128168683,1153518.147,1478601.147,3.54838040438903
"A3624",0.386585869629942,0.404085089024142,14450,23022,-12502834,-12502834,325780267,338283101,3044547.909,-9458286.09100002,-0.243508624444664
"A3630",0.264265612441262,0.31989440635404,9530,15177,6219087,6219087,140995719,134776632,1212989.688,7432076.68799999,0.195043048601828
"A3631",0.369934759077461,0.37913993329229,11315,36329,11678570,11678570,401519612,389841042,3508569.378,15187139.378,0.300427995722081
"A3632",0.395494942600027,0.421240663196731,12950,19433,-7380155,-7380155,244852495,252232650,2270093.85,-5110061.15000001,-0.307594332368357
"A3633",0.462128453664852,0.487949749211169,12317,32189,17096684,17096684,385538109,368441425,3315972.825,20412656.825,0.193954150699632
"A3644",0.500142493487022,0.512492768527024,11392,37199,8801284,0,412810783,404009499,3636085.491,12437369.491,0.413131253462563
"A3663",0.461691848489727,0.475022413459879,13201,15395,-921941,0,196140510,197062450,1773562.05,851622.050000012,-1.92372727755899
"A3664",0.397580910563554,0.429479119577831,10693,22127,4213798,0,230693427,226479629,2038316.661,6252114.66100001,0.483724341081374
"A3667",0.320647198445796,0.341359286727081,11664,6063,540988,0,69092223,68551235,616961.115,1157949.11499999,1.14043401147529
"A3669",0.345562333896764,0.375852061771908,10427,10247,-3275027,-3275027,104365448,107640475,968764.275,-2306262.72499999,-0.29580344681128
"A3671",0.313110317336904,0.337995836472116,11461,8782,-1059012,0,98032422,99091434,891822.906,-167189.093999997,-0.842127290342322
"A3675",0.31281169183602,0.344629554786401,10027,60368,-508355,0,591534464,592042819,5328385.371,4820030.37100005,-10.481622824601
"A3677",0.30267230497419,0.329590072567328,9870,38692,1644094,0,372757077,371112983,3340016.847,4984110.847,2.03152426017004
"A3692",0.369593310614428,0.395553014348481,9978,7850,1082841,0,76632447,75549606,679946.454,1762787.454,0.627928249853853
"A3694",0.47443460539702,0.492969321973803,10790,11125,5320923,5320923,117056304,111735381,1005618.429,6326541.42900001,0.188993230873667
"A3696",0.332997765157137,0.376387198610616,9690,13603,2517407,0,128755642,126238235,1136144.115,3653551.11499999,0.451315228328194
"A3698",0.361815041746149,0.406612659517655,10855,12100,-102795,0,128081578,128184373,1153659.357,1050864.35699999,-11.2229131475266
"A3702",0.333204592253573,0.362918905039781,11237,48334,12308206,12308206,531372143,519063937,4671575.433,16979781.433,0.379549662477215
"A3712",0.385345674091945,0.40539831974136,12706,9852,6142219,6142219,121831546,115689327,1041203.943,7183422.943,0.169515926247502
"A3714",0.43851877639283,0.461499814654805,10621,15961,12611493,12611493,164850230,152238736,1370148.624,13981642.624,0.10864293577295
"A3715",0.392288282561314,0.415239006249241,9947,13318,5908695,5908695,129401832,123493137,1111438.233,7020133.233,0.188102149967124
"A3716",0.2977194389775,0.32552122652278,10749,9813,2032105,0,102867485,100835380,907518.42,2939623.42,0.446590318905766
"A3717",0.419892136915243,0.428601734355494,13529,12118,-8506131,0,159477970,167984101,1511856.909,-6994274.09099999,-0.177737317824051
"A3719",0.336996553320942,0.372412779753725,10633,3900,-835863,0,40312548,41148410,370335.69,-465526.310000002,-0.443059077863236
"A3720",0.421568255651895,0.440537734217677,10081,14389,2756178,0,141985814,139229636,1253066.724,4009244.72400001,0.454639259147997
"A3722",0.353978349888313,0.40212549328779,10973,12890,2869436,0,137510350,134640914,1211768.226,4081204.22600001,0.42230188301813
"A3723",0.337372020778353,0.352906369149296,9949,10045,5878766,5878766,97766645,91887879,826990.911,6705756.911,0.140674235205143
"A3724",0.35226200927089,0.383960732927072,9449,10842,2518137,0,99743923,97225786,875032.074,3393169.074,0.3474918457574
"A3730",0.396227104317592,0.411648302128548,10331,8287,2085129,2085129,83841793,81756664,735809.976,2820938.976,0.352884630159571
"A3731",0.438144545075125,0.43610388586403,11401,5928,3124276,3124276,65743425,62619149,563572.341,3687848.341,0.180384940703061
"A3738",0.341635902561312,0.384666491797143,12620,14712,1181807,0,180044027,178862220,1609759.98,2791566.97999999,1.36211748618851
"A3739",0.385551044308082,0.405862065968009,13451,39195,20554608,20554608,515384459,494829850,4453468.65,25008077.65,0.21666526795354
"A3747",0.354198564096913,0.381758748639052,11930,25468,446130,0,296731113,296284984,2666564.856,3112693.85600001,5.97710052226931
"A3759",0.322778686818703,0.33423342900033,10445,21360,-504794,0,216540229,217045022,1953405.198,1448612.19800001,-3.86970962016191
"A3762",0.317822929040226,0.369102403986705,10214,15726,6279363,6279363,156545767,150266405,1352397.645,7631759.64500001,0.215371630052286
"A3764",0.34492627645612,0.375946273529721,11882,19008,13420170,13420170,220003358,206583188,1859248.692,15279418.692,0.138541366614581
"A3769",0.377981429679232,0.39792017917782,15549,19581,-1265914,0,298464037,299729950,2697569.55,1431656.55000001,-2.13092717988743
"A3770",0.395171079720733,0.41963493432067,13071,9201,16861223,16861223,117838453,100977230,908795.07,17770018.07,0.0538985262219705
"A3783",0.440808328394739,0.459889784287972,12071,11336,10383000,10383000,133275097,122892097,1106028.873,11489028.873,0.10652305431956
"A3791",0.375369749989108,0.412793638244843,10438,11340,-1288023,0,115901576,117189599,1054706.391,-233316.608999997,-0.818856799141011
"A3797",0.338068323026677,0.366822718686207,11419,12508,-849551,0,140360595,141210146,1270891.314,421340.31400001,-1.49595646876999
"A3799",0.386502126849796,0.380551225735823,19669,10242,5377372,0,194812739,189435367,1704918.303,7082290.303,0.317054186134045
"A3822",0.334404153430489,0.361680557665785,13838,29644,8907076,8907076,400657149,391750073,3525750.657,12432826.657,0.395837046523461
"A3825",0.391238918304042,0.400982205814646,11514,34781,12405281,12405281,390026224,377620943,3398588.487,15803869.487,0.273963039370087
"A3832",0.409582044226256,0.442039121730072,11344,7530,1178887,0,82873965,81695078,735255.702,1914142.70200001,0.623686326170368
"A3834",0.368781823749195,0.39625580851962,12811,100351,65041499,65041499,1254195589,1189154090,10702386.81,75743885.8099999,0.164547050337815
"A3835",0.367238020840508,0.401500230367024,11646,7708,1477012,0,87697397,86220386,775983.474,2252994.47400001,0.525373168261332
"A3840",0.389732975399917,0.415754809552142,12403,21250,-7243931,-7243931,255621969,262865900,2365793.1,-4878137.90000001,-0.326589679001635
"A3864",0.350765914024693,0.378790262935711,10569,40346,24173697,24173697,417620206,393446509,3541018.581,27714715.581,0.146482293585461
"A3873",0.407783433659474,0.413812008098634,13177,17957,5677285,0,230366345,224689060,2022201.54,7699486.53999999,0.356191654990016
"A3891",0.323252138328447,0.360979273678931,11943,17715,17150474,17150474,207385510,190235037,1712115.333,18862588.333,0.0998289804118536
"A3894",0.318403247156788,0.344844860929057,10231,11228,5748588,5748588,112010886,106262298,956360.682,6704948.682,0.166364450191942
"A3896",0.392865358195925,0.414378586775134,11851,11524,4650632,4650632,131917953,127267322,1145405.898,5796036.898,0.246290159703026
"A3899",0.483253387514638,0.538648666768067,11560,12773,12526041,12526041,143593151,131067110,1179603.99,13705644.99,0.0941721322802639
"A3908",0.310018293896858,0.338365192967102,10225,9903,2455520,0,98366578,95911058,863199.522,3318719.522,0.351534307193588
"A3919",0.353531578566766,0.377191213042319,10231,28450,11531472,11531472,283787713,272256241,2450306.169,13981778.169,0.212488585065292
"A3922",0.412352595660465,0.408846800184058,10738,8894,1977826,1977826,93236628,91258802,821329.218,2799155.21799999,0.41526869299928
"A4502",0.407153332936027,0.408745154971526,11055,15342,623725,0,165545095,164921370,1484292.33,2108017.33000001,2.37972236161772
"A4510",0.494715247280339,0.522032927181241,11064,5886,-613744,0,63082194,63695938,573263.442,-40480.5579999983,-0.934043252561331
"A4513",0.368001399414321,0.391137418712225,11169,11752,375455,0,127189856,126814402,1141329.618,1516783.618,3.03985462438908
"A4516",0.347432421415847,0.369641568898631,12449,13282,2916956,2916956,161684948,158767992,1428911.928,4345867.928,0.489864066513174
"A4527",0.342414151895895,0.362524693018628,10606,102391,36930902,36930902,1056258774,1019327871,9173950.839,46104853.839,0.248408550622457
"A4542",0.41113105592495,0.429027582669422,11650,16743,9637338,9637338,187584806,177947468,1601527.212,11238865.212,0.16617941717931
"A4546",0.430857211417686,0.449762217158846,11385,9211,7043549,7043549,101463597,94420048,849780.432,7893329.432,0.12064662743171
"A4548",0.289185620350817,0.33022437305798,9856,51113,39204619,39204619,491433647,452229027,4070061.243,43274681.243,0.103815885648576
"A4551",0.36546538037551,0.403329383942979,11785,14427,-4651203,0,165644354,170295557,1532660.013,-3118542.98699999,-0.32951905410278
"A4556",0.352372089164434,0.370906747182108,10637,39650,26075003,26075003,409838256,383763253,3453869.277,29528872.277,0.132459017435205
"A4557",0.362325951409224,0.397272915350565,11671,12661,-3280164,0,143942015,147222179,1324999.611,-1955164.389,-0.403943098881642
"A4558",0.484960843422215,0.5330857766137,14501,5471,179372,0,76354082,76174710,685572.39,864944.390000001,3.82207027852731
"A4559",0.369281255946007,0.393656516179081,13132,44306,-7441119,0,566890125,574331244,5168981.196,-2272137.80400002,-0.694651059336637
"A4563",0.34355968069788,0.387367046469862,13354,17822,4877587,4877587,232325908,227448321,2047034.889,6924621.889,0.419681881430305
"A4565",0.333714208849286,0.364314681722196,13998,8660,1162840,0,117252524,116089684,1044807.156,2207647.156,0.898496057927147
"A4566",0.433988551657477,0.451246113225785,10377,13917,7039009,7039009,140232874,133193865,1198744.785,8237753.785,0.170300220528202
"A4568",0.348389443538722,0.358387685905545,11747,6831,-1020616,0,77762831,78783447,709051.023,-311564.976999998,-0.694728500239073
"A4573",0.443971611937121,0.445113194862758,12079,15633,11454901,11454901,184407116,172952215,1556569.935,13011470.935,0.135886808188041
"A4575",0.353632885789553,0.387937509063047,11567,14491,3174116,3174116,163937431,160763315,1446869.835,4620985.83500001,0.455833950303016
"A4577",0.314707938310618,0.344130587670681,14266,13724,18758350,18758350,190945168,172186818,1549681.362,20308031.362,0.0826128823697174
"A4582",0.343967954725855,0.396740552951431,12203,10241,1555128,0,121246574,119691446,1077223.014,2632351.014,0.692690900041668
"A4585",0.561229646591824,0.572033724068909,12751,7805,2439234,0,97045693,94606460,851458.14,3290691.14,0.349067428545191
"A4588",0.373027312803975,0.42580713488411,9819,20869,-4050376,-4050376,199552940,203603316,1832429.844,-2217946.15599999,-0.452409811829818
"A4592",0.41299282741515,0.437976769815903,13645,35168,10326597,0,465306512,454979916,4094819.244,14421415.244,0.396531233280433
"A4597",0.387981673850545,0.393340833583254,12435,7765,2859349,2859349,94516601,91657252,824915.268,3684264.26800001,0.288497580393302
"A4600",0.463277887807836,0.486147009853947,9323,4966,1553136,0,45412812,43859676,394737.084,1947873.084,0.254154873752201
"A4604",0.359999330285186,0.382122603259702,11307,131874,41921746,41921746,1453118444,1411196698,12700770.282,54622516.2820001,0.302963771642528
"A4613",0.384194937535543,0.417049991453498,10466,7843,3859494,3859494,80368139,76508645,688577.805,4548071.80500001,0.178411419994436
"A4614",0.375786580354131,0.383049557863242,10686,13197,-922112,0,137644693,138566805,1247101.245,324989.245000005,-1.35244009946731
"A4617",0.317170794444442,0.346504713558317,12430,64388,8856695,0,780833645,771976950,6947792.55,15804487.55,0.784467857366653
"A4618",0.304573175786822,0.314352903186636,9568,18529,3854054,3854054,173880516,170026462,1530238.158,5384292.15799999,0.397046371950158
"A4620",0.511374026501182,0.547880576549671,12505,15237,-3617716,0,185473739,189091455,1701823.095,-1915892.905,-0.47041367951492
"A4626",0.365666421436492,0.399626928903748,10661,41919,27230319,27230319,434828537,407598218,3668383.962,30898702.962,0.13471689266659
"A4627",0.364196802018705,0.399769596308876,12200,5882,-374025,0,70124632,70498657,634487.913,260462.913000003,-1.69637835171446
"A4629",0.340366891052783,0.375345328896541,14622,24374,17950414,17950414,345008367,327057952,2943521.568,20893936.568,0.163980762115014
"A4638",0.449326845969357,0.478349355236415,10332,6686,2292145,2292145,67225033,64932889,584396.001,2876540.001,0.254955511540501
"A4641",0.347354057863307,0.376227470127051,13332,131430,23060281,0,1713359026,1690298745,15212688.705,38272969.7049999,0.659692252015486
"A4649",0.310022069726576,0.351035490435225,10643,9363,2168428,2168428,97734113,95565684,860091.156,3028520.156,0.396643170075282
"A4650",0.322114508710513,0.354962960578273,15202,4872,292622,0,71793006,71500384,643503.456,936125.456,2.19909458618969
"A4652",0.291233548527431,0.351550563674398,9792,9736,-1671149,0,92594599,94265747,848391.723,-822756.276999995,-0.50767030528098
"A4654",0.305490028088437,0.327447723011221,10002,10562,2712615,2712615,102675096,99962481,899662.329,3612277.329,0.331658686912812
"A4657",0.348459948047993,0.351575442616513,10721,7108,1156973,1156973,74169327,73012353,657111.177,1814085.177,0.567958091502568
"A4671",0.295661399025376,0.336928962528255,11079,8665,7040941,7040941,93908644,86867703,781809.327,7822750.32700001,0.11103761940343
"A4678",0.444990324693164,0.445740099501295,12652,14744,-378775,0,181257851,181636626,1634729.634,1255954.634,-4.31583297208106
"A4690",0.297255851971409,0.331230206341515,10758,8047,-1826814,-1826814,84125365,85952179,773569.611,-1053244.389,-0.423452858911745
"A4692",0.297134771203589,0.320170325426838,11297,41517,-3236148,0,455519533,458755681,4128801.129,892653.129000008,-1.27583816593061
"A4701",0.25218110702536,0.290701260007119,10410,5675,6998157,6998157,57819741,50821583,457394.247,7455552.247,0.065359386335574
"A4707",0.337859139209381,0.358979249738894,10992,13494,388936,0,144604799,144215863,1297942.767,1686878.76699999,3.33716284170144
"A4709",0.397635959429577,0.4075442558656,13468,19843,32432731,32432731,260405800,227973070,2051757.63,34484487.63,0.0632619137130325
"A4711",0.32860216599839,0.354561336044234,12345,8723,7724243,7724243,104865660,97141418,874272.762,8598514.76199999,0.113185429562482
"A4723",0.308191221040817,0.338559544499837,14842,10237,10104630,10104630,147787976,137683346,1239150.114,11343780.114,0.122631913687091
"A4733",0.375038406668887,0.393783106731753,14425,22948,35899819,35899819,324622305,288722486,2598502.374,38498321.374,0.0723820466615727
"A4737",0.288667814061651,0.338392420754725,10673,20043,20602644,20602644,208559538,187956894,1691612.046,22294256.046,0.082106551275652
"A4744",0.388373564570561,0.419753709937018,10169,11370,9733194,9733194,111849750,102116556,919049.004,10652243.004,0.0944241945655242
"A4749",0.312343429186744,0.345587906332444,13157,7961,9543289,9543289,101983510,92440221,831961.989,10375250.989,0.087177700371433
"A4754",0.384763347950986,0.412677751095776,10957,8536,957228,0,90997484,90040256,810362.304,1767590.30400001,0.846571876292801
"A4756",0.414484599257184,0.422120414748343,10232,31560,24071000,24071000,315722223,291651223,2624861.007,26695861.007,0.109046612396661
"A4757",0.488443398506072,0.510746965056392,10532,10925,9196162,9196162,111619273,102423111,921807.999,10117969.999,0.100238338450323
"A4764",0.344745992595875,0.389924523336137,12962,6251,4453283,4453283,78556009,74102726,666924.534,5120207.53399999,0.149760195792631
"A4768",0.412169345701439,0.405445637694486,9975,6268,7342070,7342070,61018956,53676886,483091.974,7825161.974,0.0657977891793458
"A4771",0.323764635791713,0.365356679361628,11928,36807,7013300,0,427423698,420410398,3783693.582,10796993.582,0.53950259963213
"A4775",0.385233184851792,0.404958914607263,16049,31712,41269457,41269457,495519135,454249679,4088247.111,45357703.111,0.0990622704582714
"A4776",0.4947585293206,0.526964908247639,11466,13358,7278469,7278469,148497729,141219260,1270973.34,8549442.34,0.174620973174441
"A4777",0.395006569634154,0.412684745506711,13500,28868,27487998,27487998,379942182,352454184,3172087.656,30660085.656,0.115399006359067
"A4778",0.297415257890077,0.345396631158056,13327,9467,9262411,9262411,123388297,114125886,1027132.974,10289543.974,0.110892614676676
"A4794",0.327388932969723,0.366779455124875,11923,10828,6611681,6611681,125946355,119334673,1074012.057,7685694.057,0.162441753768822
"A4795",0.296037524898783,0.315405032681057,31509,6488,26620895,26620895,188786575,162165680,1459491.12,28080386.12,0.0548250207215048
"A4796",0.278322115769629,0.329246229188719,11113,6161,1142758,0,66694906,65552148,589969.332,1732727.332,0.516267951744816
"A4799",0.322123089684258,0.346644719253733,10019,14305,9472794,9472794,140297995,130825201,1177426.809,10650220.809,0.124295620595147
"A4803",0.335172495464329,0.366896881040707,11765,40377,16190089,16190089,462940981,446750892,4020758.028,20210847.028,0.24834687616603
"A4807",0.419088139176293,0.425266559171446,32355,3389,2833181,0,103572810,100739629,906656.661,3739837.661,0.320013674029297
"A4809",0.340178576944844,0.37539053490794,13157,5834,2495749,0,74853499,72357750,651219.75,3146968.75,0.260931588072358
"A4814",0.330339319190958,0.364737906214079,11313,17609,-679930,0,195303240,195983171,1763848.539,1083917.539,-2.59416048563823
"A4818",0.343766358265454,0.376564588179382,12297,47972,35026108,35026108,577045998,542019890,4878179.01,39904287.01,0.139272653701633
"A4824",0.384845923829745,0.403991901112045,12930,70925,30406283,30406283,896464372,866058089,7794522.801,38200805.801,0.256345795406824
"A4825",0.271634529394025,0.327833227369593,10440,17328,-1399919,-1399919,176696299,178096218,1602865.962,202946.962000012,-1.14497050329341
"A4830",0.310139787368828,0.350963786699465,14997,17164,10625087,10625087,251431114,240806026,2167254.234,12792342.234,0.203975293002306
"A4832",0.389523417439444,0.412487596699741,13505,5736,2991025,2991025,74967559,71976535,647788.815,3638812.815,0.216577198452035
"A4839",0.491905268968395,0.571804358025686,14488,3029,1388631,0,42488082,41099451,369895.059,1758526.059,0.26637390278627
"A4856",0.330129478119057,0.347062349043385,14700,14840,12702891,12702891,212020200,199317309,1793855.781,14496746.781,0.1412163405165
"A4862",0.321819093637591,0.357787046207151,14666,11616,14509067,14509067,165603697,151094629,1359851.661,15868919.661,0.0937243353414808
"A4868",0.325850732755696,0.351330358108739,10826,59147,38194398,38194398,627893574,589699176,5307292.584,43501690.584,0.138954738440962
"A4873",0.300636393922514,0.320730108015026,14679,10882,7029895,7029895,154764590,147734695,1329612.255,8359507.255,0.189136858374129
"A4876",0.325722318838891,0.363944919179879,13097,8557,1226874,0,109237431,108010557,972095.013,2198969.013,0.792334838785398
"A4884",0.319450255048893,0.368719442238198,13032,4291,-201302,0,54277046,54478348,490305.132,289003.131999999,-2.43566945186833
"A4885",0.35381138655395,0.390379920334629,11659,12010,11395883,11395883,137209665,125813783,1132324.047,12528206.047,0.0993624668663228
"A4888",0.487246662980803,0.486958690078431,13322,6526,7003404,7003404,84108146,77104742,693942.678,7697346.678,0.0990864839440939
"A4889",0.469833622165265,0.485664616321711,10796,27673,21726485,21726485,293261933,271535448,2443819.032,24170304.032,0.112481104605738
"A4893",0.345768222653022,0.381458553361011,12381,20235,3846994,0,245345060,241498066,2173482.594,6020476.59400001,0.564982059758869
"A4894",0.337085186559162,0.379327734430818,11591,30656,24802509,24802509,346644097,321841587,2896574.283,27699084.283,0.116785575322238
"A4895",0.397501407339876,0.420440116942992,11637,12304,10796685,10796685,139114289,128317604,1154858.436,11951543.436,0.10696416872401
"A4901",0.382921324729569,0.389293772063009,12160,15276,-7374240,0,180056369,187430609,1686875.481,-5687364.51899999,-0.22875245191369
"A4911",0.350606565272939,0.38016688596464,12754,14361,6594271,6594271,178670227,172075956,1548683.604,8142954.604,0.234852890334656
"A4922",0.352846279850071,0.380485994075211,13796,41921,38289908,38289908,563003749,524713841,4722424.569,43012332.569,0.123333400774951
"A4923",0.358395744428499,0.398999637638458,10679,6881,-269284,0,71423642,71692926,645236.334,375952.334000006,-2.39611835088608
"A4924",0.324479888642191,0.344549770535086,13548,13699,4720900,0,181237647,176516747,1588650.723,6309550.72299999,0.336514377131477
"A4928",0.341926341025519,0.358544748585205,11425,7421,3892434,3892434,82690791,78798357,709185.213,4601619.213,0.182195822202766
"A4931",0.381971972910508,0.409266059566231,11542,25087,5445838,5445838,282605185,277159346,2494434.114,7940273.11400002,0.458044310903119
"A4932",0.401175232196979,0.442847453659996,11178,14778,6615727,6615727,161297336,154681610,1392134.49,8007860.49000001,0.210427892505239
"A4937",0.344502892944329,0.369514570963698,11629,20715,-846621,-846621,236191075,237037696,2133339.264,1286718.264,-2.51982795607479
"A4938",0.304212614811681,0.338553085314287,10851,34148,318832,318832,361913681,361594850,3254353.65,3573184.64999998,10.20710797536
"A4943",0.393563916378855,0.393242733623216,12064,12090,-2196872,0,142290852,144487724,1300389.516,-896482.483999997,-0.591927757283994
"A4945",0.369846882263237,0.393064949796865,10358,24386,9044821,9044821,245262968,236218147,2125963.323,11170784.323,0.235047583915703
"A4947",0.354526278904347,0.383242294642041,11927,17863,9855484,9855484,207344008,197488524,1777396.716,11632880.716,0.180345959264912
"A4949",0.328898589050928,0.351478037666223,9902,41622,4066400,4066400,402313734,398247334,3584226.006,7650626.00599998,0.881424849006488
"A4950",0.485156373301241,0.497769885577478,9687,9761,1388523,0,92488066,91099543,819895.887,2208418.88699999,0.590480594847903
"A4960",0.357183014660511,0.375806505325896,10322,9480,4676562,4676562,96009213,91332651,821993.859,5498555.859,0.175768835952565
"A4961",0.379443010676117,0.407635504099117,10901,7826,3856654,3856654,83746244,79889591,719006.319,4575659.31900001,0.186432414989783
"A4964",0.425127937060473,0.433295758174564,14727,12555,4986747,4986747,180837002,175850255,1582652.295,6569399.29499999,0.317371684386633
"A4968",0.349502786142296,0.375195320523274,11558,256202,25383366,0,2878334753,2852951387,25676562.483,51059928.4829998,1.01155073298789
"A4969",0.424150349357893,0.437913057917908,10299,7576,2113532,0,75208558,73095026,657855.234,2771387.234,0.311258705333062
